,name,real_name,full_name,overall_score,intelligence_score,strength_score,speed_score,durability_score,power_score,combat_score,superpowers,creator
11,Abraxas,Abraxas,Abraxas,∞,100,100,100,100,100,100,"['Dimensional Awareness', 'Dimensional Travel', 'Durability', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Flight', 'Immortality', 'Intelligence', 'Invulnerability', 'Magic', 'Matter Absorption', 'Molecular Manipulation', 'Omnipotent', 'Power Cosmic', 'Reality Warping', 'Self-Sustenance', 'Size Changing', 'Stamina', 'Super Speed', 'Super Strength', 'Teleportation']",Marvel Comics
324,Cosmic King Thor,Thor Odinson,Thor Odinson,117,100,100,100,100,100,100,"['Accelerated Healing', 'Acrobatics', 'Agility', 'Anti-Gravity', 'Antimatter Manipulation', 'Attack Reflection', 'Banish', 'Cold Resistance', 'Dexterity', 'Durability', 'Electrokinesis', 'Element Control', 'Endurance', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Enhanced Senses', 'Flight', 'Godly Physiology', 'Heat Resistance', 'Homing Attack', 'Immortality', 'Intelligence', 'Invulnerability', 'Longevity', 'Magic', 'Marksmanship', 'Matter Manipulation', 'Mind Control Resistance', 'Odin Force', 'Omnilingualism', 'Portal Creation', 'Power Cosmic', 'Reflexes', 'Regeneration', 'Rune Magic', 'Self-Sustenance', 'Stamina', 'Statistics Amplification', 'Super Speed', 'Super Strength', 'Telepathy', 'Telepathy Resistance', 'Toxin and Disease Resistance', 'Transmutation', 'Void Manipulation', 'Weapon-based Powers', 'Weapons Master', 'Weather Control', 'Wind Control']",Marvel Comics
510,General Zod,Dru-Zod,Dru-Zod,18,95,100,95,100,100,95,"['Accelerated Healing', 'Durability', 'Energy Absorption', 'Enhanced Hearing', 'Enhanced Senses', 'Flight', 'Hypnokinesis', 'Intelligence', 'Invulnerability', 'Jump', 'Longevity', 'Stamina', 'Super Breath', 'Super Speed', 'Super Strength', 'Vision - Heat', 'Vision - Microscopic', 'Vision - Telescopic', 'Vision - X-Ray']",DC Comics
527,Golden Ninja,Lloyd Garmadon,LLoyd Montgomery Garmadon,226,100,100,100,100,100,100,"['Acausality', 'Accelerated Healing', 'Age Manipulation', 'Agility', 'Animated Shadow', 'Anti-Gravity', 'Audio Control', 'Bullet Time', 'Clairvoyance', 'Cold Resistance', 'Creation', 'Cryokinesis', 'Darkforce Manipulation', 'Dexterity', 'Dimensional Travel', 'Duplication', 'Durability', 'Durability Negation', 'Electrokinesis', 'Element Control', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Existence Erasure', 'Fire Control', 'Fire Resistance', 'Flight', 'Force Fields', 'Gravity Control', 'Heat Resistance', 'Holy Manipulation', 'Intangibility', 'Invisibility', 'Levitation', 'Life Manipulation', 'Light Control', 'Longevity', 'Marksmanship', 'Master Martial Artist', 'Matter Manipulation', 'Metal Manipulation', 'Mind Control', 'Mind Control Resistance', 'Nigh-Omnipotent', 'Non-Physical Interaction', 'Peak Human Condition', 'Plant Control', 'Portal Creation', 'Power Bestowal', 'Power Mimicry', 'Power Nullifier', 'Precognition', 'Pressure Points', 'Reality Warping', 'Reflexes', 'Sealing', 'Shapeshifting', 'Smoke Manipulation', 'Soul Manipulation', 'Spinjitzu', 'Stamina', 'Statistics Amplification', 'Stealth', 'Summoning', 'Super Breath', 'Super Speed', 'Super Strength', 'Technopath/Cyberpath', 'Telekinesis', 'Telepathy', 'Telepathy Resistance', 'Teleportation', 'Terrakinesis', 'Time Manipulation', 'Time Travel', 'Timeframe Control', 'Toxin and Disease Control', 'Toxin and Disease Resistance', 'Transformation', 'Transmutation', 'Water Control', 'Weapons Master', 'Weather Control', 'Wind Control']",Lego
845,Man Of Miracles,Mother Of Existence,Mother Of Existence,∞,100,100,100,100,100,100,"['Absorption', 'Agility', 'Animal Control', 'Causality Manipulation', 'Clairvoyance', 'Corruption', 'Creation', 'Death Manipulation', 'Element Control', 'Energy Manipulation', 'Existence Erasure', 'Fate Manipulation', 'Fire Control', 'Flight', 'Holy Manipulation', 'Illusions', 'Immortality', 'Intangibility', 'Invisibility', 'Invulnerability', 'Life Manipulation', 'Light Control', 'Magic', 'Matter Manipulation', 'Mind Control', 'Nigh-Omnipotent', 'Nigh-Omniscient', 'Omnipresent', 'Plant Control', 'Power Nullifier', 'Precognition', 'Psychometry', 'Reality Warping', 'Reflexes', 'Regeneration', 'Resurrection', 'Shapeshifting', 'Size Changing', 'Soul Manipulation', 'Spatial Manipulation', 'Stamina', 'Summoning', 'Super Speed', 'Super Strength', 'Technopath/Cyberpath', 'Telekinesis', 'Telepathy', 'Terrakinesis', 'Time Manipulation', 'Time Travel', 'Transmutation', 'Vitakinesis', 'Void Manipulation', 'Weather Control']",Image Comics
882,Michael Demiurgos,Michael Demiurgos,Michael Demiurgos,∞,100,100,100,100,100,100,"['Acausality', 'Accelerated Healing', 'Agility', 'Animation', 'Anti-Gravity', 'Astral Projection', 'Audio Control', 'Banish', 'Causality Manipulation', 'Cold Resistance', 'Conceptual Manipulation', 'Creation', 'Darkforce Manipulation', 'Death Manipulation', 'Dexterity', 'Dimensional Awareness', 'Dimensional Travel', 'Durability', 'Element Control', 'Endurance', 'Energy Blasts', 'Energy Manipulation', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Senses', 'Enhanced Sight', 'Enhanced Smell', 'Enhanced Touch', 'Existence Erasure', 'Flight', 'Gliding', 'Gravity Control', 'Heat Generation', 'Heat Resistance', 'Higher Dimensional Manipulation', 'Illusions', 'Immortality', 'Intelligence', 'Invulnerability', 'Law Manipulation', 'Levitation', 'Life Manipulation', 'Light Control', 'Magic', 'Magic Resistance', 'Matter Manipulation', 'Memory Manipulation', 'Molecular Manipulation', 'Nigh-Omnipotent', 'Nigh-Omniscient', 'Omnilingualism', 'Omnipresent', 'Phasing', 'Physics Manipulation', 'Reality Warping', 'Reflexes', 'Regeneration', 'Self-Sustenance', 'Size Changing', 'Soul Manipulation', 'Spatial Manipulation', 'Stamina', 'Super Speed', 'Super Strength', 'Teleportation', 'Time Manipulation', 'Timeframe Control', 'Toxin and Disease Resistance', 'Void Manipulation', 'Weapons Master', 'Willpower Manipulation']",DC Comics
912,Monarch,Nathaniel Christopher Adam,Nathaniel Christopher Adam,54,95,100,95,100,100,100,"['Agility', 'Astral Projection', 'Camouflage', 'Dimensional Awareness', 'Dimensional Travel', 'Energy Beams', 'Energy Blasts', 'Energy Constructs', 'Flight', 'Force Fields', 'Immortality', 'Intangibility', 'Intelligence', 'Invulnerability', 'Marksmanship', 'Matter Absorption', 'Matter Manipulation', 'Mind Control', 'Molecular Combustion', 'Molecular Dissipation', 'Molecular Immobilization', 'Resurrection', 'Self-Sustenance', 'Super Speed', 'Super Strength', 'Technopath/Cyberpath', 'Telekinesis', 'Time Manipulation', 'Time Travel']",DC Comics
976,Old King Thor,Thor Odinson,Thor Odinson,100,100,100,100,100,100,100,"['Absorption', 'Accelerated Healing', 'Agility', 'Anti-Gravity', 'Cold Resistance', 'Danger Sense', 'Dexterity', 'Dimensional Awareness', 'Dimensional Travel', 'Durability', 'Electrokinesis', 'Element Control', 'Endurance', 'Energy Absorption', 'Energy Beams', 'Energy Blasts', 'Energy Manipulation', 'Enhanced Hearing', 'Enhanced Memory', 'Enhanced Senses', 'Enhanced Sight', 'Flight', 'Heat Resistance', 'Immortality', 'Intelligence', 'Invulnerability', 'Levitation', 'Life Manipulation', 'Longevity', 'Magic', 'Marksmanship', 'Matter Absorption', 'Matter Manipulation', 'Mind Control Resistance', 'Odin Force', 'Omni-Sense', 'Omnilingualism', 'Reflexes', 'Regeneration', 'Self-Sustenance', 'Stamina', 'Summoning', 'Super Breath', 'Super Speed', 'Super Strength', 'Telepathy Resistance', 'Teleportation', 'Toxin and Disease Resistance', 'Underwater breathing', 'Weapon Creation', 'Weapon-based Powers', 'Weapons Master', 'Weather Control', 'Wind Control']",Marvel Comics
983,One-Above-All,The One-Above-All,The One-Above-All,125,100,100,100,100,100,100,"['Astral Projection', 'Conceptual Manipulation', 'Creation', 'Death Manipulation', 'Dimensional Awareness', 'Dimensional Travel', 'Durability', 'Energy Manipulation', 'Illusions', 'Immortality', 'Invulnerability', 'Law Manipulation', 'Levitation', 'Life Manipulation', 'Matter Manipulation', 'Molecular Manipulation', 'Nigh-Omnipotent', 'Nigh-Omniscient', 'Non-Corporeal', 'Omnilingualism', 'Omnipresent', 'Physics Manipulation', 'Probability Manipulation', 'Reality Warping', 'Resurrection', 'Self-Sustenance', 'Shapeshifting', 'Spatial Manipulation', 'Stamina', 'Super Speed', 'Super Strength', 'Time Manipulation', 'Transduality', 'Void Manipulation']",Marvel Comics
1053,Ragnarok,Ragnarok,/,27,100,100,100,100,100,100,"['Accelerated Healing', 'Cold Resistance', 'Durability', 'Electrokinesis', 'Element Control', 'Energy Absorption', 'Energy Blasts', 'Energy Manipulation', 'Energy Resistance', 'Enhanced Senses', 'Flight', 'Force Fields', 'Heat Resistance', 'Illusions', 'Intelligence', 'Longevity', 'Magic', 'Magnetism', 'Mind Control Resistance', 'Radiation Immunity', 'Self-Sustenance', 'Super Breath', 'Super Speed', 'Super Strength', 'Teleportation', 'Toxin and Disease Resistance', 'Weapon-based Powers', 'Weapons Master', 'Weather Control']",Marvel Comics
